,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_47,P_48,P_49,P_50,P_51,P_52,P_53,P_54,P_55,P_56,P_57,P_58,P_59,P_60,P_61,P_62,P_63,P_64,P_65,P_66,P_67,P_68,P_69,P_70
2014-07-31,2669,3603,3506,1274,1528,2244,1460,2523,2045,1713,4896,1697,6434,2872,3636,5044,3810,1004,2366,6117,16302,10467,21457,7204,11457,15503,12851,7161,10163,19852,4509,3685,4215,2462,2080,2842,1865,3510,1402,2699,487,537,534,400,487,627,510,478,482,495,3235,3718,5284,1693,3849,4134,3271,2750,3058,4383,1721,2506,3011,1039,1374,1840,1359,1407,1108,1544
2014-08-31,2794,3405,3279,1449,1526,1970,1423,2660,2065,1774,4927,1802,6841,3026,3961,5389,4105,974,2412,5793,16907,11319,22408,7477,12571,16681,13270,7194,9421,19164,4583,4174,4422,2722,2007,2866,2043,3804,1432,2904,578,583,645,408,558,646,524,553,488,580,3537,4425,6407,2026,3980,4556,3663,3250,3535,5066,1906,2701,3081,1134,1331,1877,1424,1503,1061,1490
2014-09-30,2289,3434,3238,1426,1484,1877,1369,2581,1775,1875,4766,1817,6435,2928,3802,4909,3816,893,2173,5510,16286,10956,21252,7592,12643,16172,12860,6685,8896,17382,4789,4032,4556,2552,2207,2963,2188,3859,1591,3028,581,582,636,409,525,672,595,541,501,588,3873,4563,6241,1938,3787,4788,3634,2933,3218,4687,1979,2618,3004,1160,1327,1827,1357,1449,1049,1465
2014-10-31,2310,3277,3088,1404,1500,1615,1159,2326,1614,1893,4997,1724,6276,3110,3868,4619,4223,934,2107,5167,15147,9822,20512,7435,13066,16042,12857,6319,8442,16034,4651,3865,4783,2610,2182,3284,2297,3823,1568,2927,606,608,701,422,564,695,636,544,478,578,3621,4440,6187,1963,3745,4525,3617,2979,3188,4305,1982,2693,3215,1180,1369,1883,1384,1446,1050,1584
2014-11-30,2559,3396,2921,1329,1384,1796,1395,2351,1749,1678,5210,1884,7002,3050,3907,4867,4524,965,2242,5425,15298,10427,22433,7434,13917,17390,15042,6961,9853,16430,4652,3588,5086,2411,2136,3173,2432,3535,1533,2870,588,547,634,402,512,584,572,520,477,558,3818,4356,6609,1999,3861,4412,3739,3189,3442,4584,2025,2607,3280,1065,1286,1766,1345,1377,988,1518
2014-12-31,2715,4027,3282,1527,1342,2195,1461,2516,2210,1846,5350,1920,7423,2991,4138,4951,5157,909,2199,5345,16763,11568,23792,8109,15002,18460,16860,7399,10494,19882,4714,4168,5174,2562,2458,3436,2498,3757,1650,2840,531,574,609,407,512,624,598,505,489,537,4195,5046,7535,2243,4125,4949,3906,3384,3474,4678,2114,2887,3476,1134,1282,1878,1370,1362,1057,1561
2015-01-31,2386,3222,2909,1294,1252,2211,1437,2149,1630,1780,5390,1973,7345,3146,4285,5240,5049,956,2147,5727,16354,11673,25038,8111,16440,20262,18073,6604,10020,19711,4748,3747,5066,2462,2256,3125,2250,3619,1528,2778,506,581,599,417,503,683,580,502,485,533,4426,4881,8590,2342,4361,4983,3951,3643,3545,4723,1997,2739,3493,1142,1338,1910,1393,1393,1046,1514
2015-02-28,2318,3516,3045,1869,1463,2477,1505,2447,2113,2027,4941,1750,7389,3076,4122,4954,4641,912,2074,6211,16246,11774,25860,9041,15090,19278,16804,6767,9243,19032,4690,3573,3980,2645,2062,2889,2108,3576,1435,2747,485,563,577,409,470,693,620,463,472,546,4302,4934,8110,2393,4376,5082,4093,3658,3689,5099,1855,2584,3448,1155,1349,1780,1363,1340,903,1490
2015-03-31,2661,4182,3839,2320,1722,2831,1731,2596,2179,2083,5352,1804,7716,3286,4051,5054,5043,911,1987,6250,19274,12728,29871,10539,15749,21633,17438,7835,10360,22467,4959,3724,4369,2859,2209,3156,2296,3740,1452,2932,600,692,729,439,616,900,721,557,586,607,4582,5369,8648,2459,4577,5398,4266,3718,3544,5410,1892,2701,3463,1225,1397,1965,1522,1409,845,1544
2015-04-30,2356,3667,3244,1794,1533,2401,1619,2422,1901,2136,5064,1575,7393,3044,3785,4792,4680,863,1828,6108,19197,12080,26940,9724,13911,19164,15684,7749,10107,20952,4223,3444,4191,2672,2111,2893,2145,3367,1428,3051,503,596,625,447,547,786,671,547,500,593,4068,4540,7553,2222,4327,5048,4160,3283,3341,4789,1809,2578,3321,1169,1312,1742,1410,1324,766,1465
2015-05-31,3000,4732,4035,1880,1889,2811,2058,3137,2498,2638,5349,1561,7915,3414,4142,5140,4636,892,2042,6625,20922,12956,29367,10077,15304,20509,16072,8395,11235,23160,4665,3702,4566,2828,2189,3198,2188,3727,1543,3197,615,607,704,456,521,787,628,554,523,617,3774,4368,7198,2175,4187,5055,3934,3254,3481,4583,2041,2667,3190,1238,1387,1825,1446,1410,780,1543
2015-06-30,2813,3937,4138,1617,2175,3154,2263,2875,2369,2912,5737,1770,8425,3843,4190,5647,4954,979,2330,7381,20198,12938,29798,10856,14826,19898,15165,7899,11589,22747,4545,3338,4504,2900,2110,3254,2189,3537,1560,2836,518,603,620,441,506,653,610,482,464,568,4132,4582,7810,2263,4416,5642,4170,3543,3569,4878,1875,2577,3307,1162,1405,1817,1409,1376,804,1470
